rss,rss_dbm
5.3606164e-10,-62.707855
5.068436e-10,-62.951263
4.8984333e-10,-63.099434
4.3958145e-10,-63.569603
4.3636555e-10,-63.601494
4.3388945e-10,-63.626213
4.3332823e-10,-63.63183
4.3415557e-10,-63.623543
4.357661e-10,-63.607468
4.4017967e-10,-63.563698
4.411166e-10,-63.554466
4.4205886e-10,-63.545197
4.491361e-10,-63.47622
4.550576e-10,-63.419334
4.7623333e-10,-63.2218
5.333421e-10,-62.729942
5.3835747e-10,-62.689293
6.075313e-10,-62.164314
6.0949057e-10,-62.15033
5.5316496e-10,-62.57145
5.0484517e-10,-62.968414
4.4131862e-10,-63.552475
4.3807738e-10,-63.584488
4.3354342e-10,-63.629677
4.3298304e-10,-63.635292
4.3290144e-10,-63.63611
4.3324655e-10,-63.632652
4.3450255e-10,-63.62008
4.3485168e-10,-63.616592
4.3611706e-10,-63.603973
4.4336676e-10,-63.53237
4.7122883e-10,-63.267677
5.0463317e-10,-62.970238
5.103766e-10,-62.921097
5.1625226e-10,-62.871384
5.3976174e-10,-62.67798
5.695868e-10,-62.444397
5.925583e-10,-62.27269
5.898286e-10,-62.29274
4.8428345e-10,-63.149002
4.7394666e-10,-63.242706
4.6404192e-10,-63.334427
4.5779466e-10,-63.393295
4.392262e-10,-63.57312
4.3601556e-10,-63.60498
4.354488e-10,-63.610626
4.3488357e-10,-63.616264
4.3393983e-10,-63.62571
4.352013e-10,-63.6131
4.396022e-10,-63.569405
4.6320028e-10,-63.342316
4.990175e-10,-63.018845
5.4633786e-10,-62.62539
5.711564e-10,-62.43245
5.791517e-10,-62.37207
4.377232e-10,-63.588013
4.3131068e-10,-63.6521
4.3109918e-10,-63.654236
4.3178558e-10,-63.647316
4.3212875e-10,-63.643867
4.427807e-10,-63.538116
4.456384e-10,-63.51017
4.817738e-10,-63.17157
4.8815296e-10,-63.11444
5.0022186e-10,-63.008377
5.904614e-10,-62.288086
6.0290056e-10,-62.19754
5.68857e-10,-62.449966
5.186829e-10,-62.850983
5.1659016e-10,-62.868538
5.1451243e-10,-62.88604
5.05607e-10,-62.96187
4.5232335e-10,-63.44551
4.463856e-10,-63.5029
4.356646e-10,-63.608475
4.300729e-10,-63.66458
4.2986267e-10,-63.666702
4.3122972e-10,-63.652916
4.3157358e-10,-63.649452
4.3247417e-10,-63.640396
4.380965e-10,-63.584297
5.1883914e-10,-62.84967
5.2491245e-10,-62.799133
5.311275e-10,-62.748016
5.589196e-10,-62.526505
5.516924e-10,-62.583023
5.30248e-10,-62.75521
4.5904935e-10,-63.38141
4.3362514e-10,-63.628853
4.3533435e-10,-63.61177
4.3625073e-10,-63.60264
4.4219617e-10,-63.543854
5.6706173e-10,-62.46369
5.9916655e-10,-62.224518
5.4932325e-10,-62.601715
5.216036e-10,-62.8266
5.0838184e-10,-62.938095
4.6133555e-10,-63.359833
4.406017e-10,-63.55954
4.3794263e-10,-63.585823
4.353141e-10,-63.611977
4.297822e-10,-63.66752
4.5682724e-10,-63.40248
4.6568027e-10,-63.319122
4.7271526e-10,-63.254005
4.737975e-10,-63.24408
4.927994e-10,-63.073303
5.1948723e-10,-62.844246
5.043746e-10,-62.972473
4.717873e-10,-63.262543
4.676804e-10,-63.300507
4.5803317e-10,-63.39103
4.4118195e-10,-63.553818
4.277472e-10,-63.688126
4.2732995e-10,-63.692368
4.2923154e-10,-63.673088
4.295708e-10,-63.669655
