rss,rss_dbm
7.2984147e-10,-61.367714
6.8176326e-10,-61.663666
6.534933e-10,-61.847595
5.687232e-10,-62.45099
5.634953e-10,-62.49109
5.5914406e-10,-62.524765
5.5833116e-10,-62.531082
5.596842e-10,-62.52057
5.624827e-10,-62.498917
5.699882e-10,-62.441338
5.7146005e-10,-62.430145
5.7294863e-10,-62.41884
5.8510585e-10,-62.327652
5.951498e-10,-62.25373
6.307637e-10,-62.001335
7.2553874e-10,-61.393394
7.335024e-10,-61.345985
8.4583457e-10,-60.72715
8.4920365e-10,-60.709877
7.580947e-10,-61.202766
6.786236e-10,-61.683716
5.721104e-10,-62.4252
5.666012e-10,-62.467224
5.588474e-10,-62.52707
5.5799637e-10,-62.533684
5.578022e-10,-62.535202
5.5840604e-10,-62.530502
5.603783e-10,-62.515182
5.611385e-10,-62.5093
5.6333316e-10,-62.492355
5.7561206e-10,-62.398697
6.2278394e-10,-62.056625
6.7849076e-10,-61.684563
6.879289e-10,-61.624565
6.976104e-10,-61.563873
7.361915e-10,-61.330093
7.846833e-10,-61.053055
8.2212875e-10,-60.8506
8.177638e-10,-60.87372
6.448591e-10,-61.905357
6.274277e-10,-62.02437
6.1098204e-10,-62.13971
6.0036126e-10,-62.215874
5.6880256e-10,-62.45038
5.6345073e-10,-62.49144
5.624305e-10,-62.499313
5.6143645e-10,-62.50699
5.5980726e-10,-62.519615
5.6196253e-10,-62.50293
5.6958566e-10,-62.444412
6.094066e-10,-62.150925
6.6928896e-10,-61.74386
7.47121e-10,-61.26609
7.876913e-10,-61.036446
8.006927e-10,-60.96534
5.666659e-10,-62.46673
5.556011e-10,-62.55237
5.553436e-10,-62.554382
5.5651145e-10,-62.545258
5.5719e-10,-62.53997
5.752784e-10,-62.401215
5.799886e-10,-62.365807
6.409605e-10,-61.931686
6.5157213e-10,-61.860367
6.715638e-10,-61.729126
8.1906953e-10,-60.86679
8.389672e-10,-60.76255
7.8423634e-10,-61.055527
7.0228534e-10,-61.534866
6.989728e-10,-61.555397
6.9568584e-10,-61.575867
