rss,rss_dbm
7.655543e-10,-61.16024
7.1146194e-10,-61.478485
6.7960465e-10,-61.677437
5.8400873e-10,-62.335808
5.781956e-10,-62.379257
5.732514e-10,-62.41655
5.723808e-10,-62.423157
5.738871e-10,-62.411736
5.7705735e-10,-62.38781
5.855129e-10,-62.32464
5.871329e-10,-62.31263
5.887747e-10,-62.300507
6.025245e-10,-62.20025
6.138542e-10,-62.119354
6.539931e-10,-61.84427
7.6077294e-10,-61.187447
7.6963425e-10,-61.137154
8.9581237e-10,-60.47783
8.996767e-10,-60.459137
7.974306e-10,-60.983063
7.079868e-10,-61.49975
5.87964e-10,-62.306488
5.817558e-10,-62.352592
5.730091e-10,-62.41838
5.720831e-10,-62.425415
5.718471e-10,-62.4272
5.7253213e-10,-62.421997
5.747013e-10,-62.40558
5.7561006e-10,-62.39872
5.7809535e-10,-62.380005
5.9191774e-10,-62.27738
6.451383e-10,-61.903473
7.0791484e-10,-61.500183
7.185197e-10,-61.435616
7.29412e-10,-61.37027
7.728038e-10,-61.11931
8.272545e-10,-60.82361
8.693918e-10,-60.60784
8.645105e-10,-60.632294
6.700972e-10,-61.738625
6.5040173e-10,-61.86818
6.31927e-10,-61.993332
6.1992267e-10,-62.07663
5.8431554e-10,-62.333527
5.783197e-10,-62.37832
5.771526e-10,-62.387093
5.760228e-10,-62.3956
5.7418e-10,-62.409515
5.766105e-10,-62.391174
5.8524363e-10,-62.32663
6.30098e-10,-62.00592
6.9758976e-10,-61.563995
7.8515894e-10,-61.050423
8.3081086e-10,-60.804977
8.454263e-10,-60.729248
5.820411e-10,-62.350464
5.695276e-10,-62.444847
5.692703e-10,-62.446815
5.7058497e-10,-62.4368
5.7137917e-10,-62.430756
5.9175365e-10,-62.278595
5.9701866e-10,-62.240128
6.658046e-10,-61.766525
6.777522e-10,-61.689293
7.002503e-10,-61.54747
8.660875e-10,-60.624382
8.883453e-10,-60.514183
8.2703744e-10,-60.824745
7.349176e-10,-61.337616
7.312386e-10,-61.359406
7.2758854e-10,-61.38114
7.106342e-10,-61.483536
6.1025707e-10,-62.144867
5.993254e-10,-62.223373
5.785305e-10,-62.37674
5.6798555e-10,-62.456627
5.6752675e-10,-62.460136
5.700078e-10,-62.441193
5.708588e-10,-62.434708
5.72267e-10,-62.42401
5.833703e-10,-62.340553
7.3521333e-10,-61.33587
7.465569e-10,-61.26937
7.5820106e-10,-61.202156
8.0930446e-10,-60.918884
7.9642104e-10,-60.98857
7.567804e-10,-61.210297
6.2368744e-10,-62.05033
5.7511645e-10,-62.402435
5.7857585e-10,-62.376396
5.8015415e-10,-62.36457
5.91623e-10,-62.27955
8.242551e-10,-60.839386
8.830172e-10,-60.540306
7.92201e-10,-61.01165
7.41501e-10,-61.29889
7.1683365e-10,-61.445816
6.283651e-10,-62.017883
5.889827e-10,-62.298973
5.837833e-10,-62.337486
5.788292e-10,-62.374496
5.6809646e-10,-62.45578
6.2000194e-10,-62.076073
6.3673955e-10,-61.96038
6.499356e-10,-61.8713
6.522438e-10,-61.855896
6.879435e-10,-61.624466
7.377657e-10,-61.320816
7.0981704e-10,-61.488533
6.4884786e-10,-61.87857
6.408862e-10,-61.93219
6.228993e-10,-62.055824
5.904801e-10,-62.28795
5.648139e-10,-62.48094
5.6409605e-10,-62.486465
5.675731e-10,-62.459785
5.684927e-10,-62.45276
5.7989924e-10,-62.366478
5.9152505e-10,-62.280273
5.932964e-10,-62.26729
5.968956e-10,-62.24102
6.0623834e-10,-62.17357
6.2621924e-10,-62.032738
7.3279643e-10,-61.350166
8.2779456e-10,-60.82077
7.0292105e-10,-61.53093
6.685447e-10,-61.748695
6.351916e-10,-61.970947
6.0862776e-10,-62.156487
6.043267e-10,-62.18728
5.881043e-10,-62.305458
5.792172e-10,-62.37159
5.634273e-10,-62.491615
5.66201e-10,-62.47029
5.7096816e-10,-62.433884
5.7362676e-10,-62.413704
5.7516714e-10,-62.402054
5.846397e-10,-62.331116
5.863328e-10,-62.318558
6.456556e-10,-61.899986
6.569192e-10,-61.824883
7.0338524e-10,-61.52806
7.138799e-10,-61.463745
7.246552e-10,-61.39869
8.5211277e-10,-60.69503
7.996644e-10,-60.970924
7.5202045e-10,-61.23771
7.4819506e-10,-61.25985
6.540251e-10,-61.844055
6.401268e-10,-61.93734
6.2484595e-10,-62.042274
5.6281263e-10,-62.496353
5.619802e-10,-62.502792
5.623712e-10,-62.49977
5.616298e-10,-62.5055
5.6569494e-10,-62.474174
5.932478e-10,-62.26764
6.4793676e-10,-61.884674
6.735195e-10,-61.7165
7.166675e-10,-61.446823
7.95419e-10,-60.99404
6.035213e-10,-62.19307
5.8724464e-10,-62.311813
5.633848e-10,-62.49195
5.6256483e-10,-62.498276
5.608277e-10,-62.511703
5.6042493e-10,-62.51483
5.6092453e-10,-62.510956
5.717972e-10,-62.42758
5.862153e-10,-62.319427
6.760201e-10,-61.7004
7.0883566e-10,-61.494537
8.34938e-10,-60.783455
8.5583607e-10,-60.6761
8.91833e-10,-60.49716
7.021324e-10,-61.535805
6.709172e-10,-61.733315
6.562775e-10,-61.829132
6.451631e-10,-61.903305
6.194335e-10,-62.080048
6.010022e-10,-62.211235
5.7968874e-10,-62.36805
5.7473126e-10,-62.40535
5.7001703e-10,-62.441116
5.62407e-10,-62.499496
5.61468e-10,-62.506752
5.5969496e-10,-62.520485
5.600137e-10,-62.518013
5.592361e-10,-62.524048
5.5970134e-10,-62.52044
5.6090177e-10,-62.51113
5.6383576e-10,-62.488472
5.702789e-10,-62.439125
6.162264e-10,-62.102592
6.3068945e-10,-62.001846
7.829885e-10,-61.062454
6.167601e-10,-62.09884
5.985024e-10,-62.22934
5.666839e-10,-62.46659
5.655451e-10,-62.475327
5.603867e-10,-62.51512
5.588628e-10,-62.526947
5.5806726e-10,-62.533127
5.6032257e-10,-62.515625
5.6111343e-10,-62.50949
5.619926e-10,-62.502686
5.658331e-10,-62.473114
5.715208e-10,-62.429672
5.793387e-10,-62.370674
5.844026e-10,-62.33288
5.9505356e-10,-62.25444
6.372523e-10,-61.95688
7.038558e-10,-61.52516
7.6495443e-10,-61.163643
8.248547e-10,-60.836227
8.1596596e-10,-60.883286
7.549931e-10,-61.220566
6.9202866e-10,-61.598755
6.2608047e-10,-62.0337
5.919371e-10,-62.277237
5.8794236e-10,-62.306656
5.751635e-10,-62.402084
5.634466e-10,-62.49147
5.5846466e-10,-62.530045
5.5977895e-10,-62.519836
5.6296356e-10,-62.495193
5.7444527e-10,-62.407516
5.776878e-10,-62.38307
6.064046e-10,-62.17238
6.103444e-10,-62.14425
6.528967e-10,-61.851562
7.2516204e-10,-61.395645
7.7708245e-10,-61.095337
7.9443147e-10,-60.999435
7.3607065e-10,-61.330803
6.4442496e-10,-61.90827
6.3088795e-10,-62.000473
6.233412e-10,-62.05275
5.935718e-10,-62.26526
5.8952154e-10,-62.295006
5.8557054e-10,-62.32421
5.7293126e-10,-62.418976
5.716099e-10,-62.429
5.5661215e-10,-62.54447
5.5578026e-10,-62.550964
5.561362e-10,-62.548187
5.558959e-10,-62.550064
5.5648713e-10,-62.545456
5.6016825e-10,-62.516815
5.615576e-10,-62.506058
5.6402366e-10,-62.48703
5.82609e-10,-62.34623
5.8433264e-10,-62.333405
5.950844e-10,-62.25421
6.309426e-10,-62.000107
7.065821e-10,-61.50837
7.323846e-10,-61.352608
6.386474e-10,-61.947388
5.95239e-10,-62.253082
5.8321686e-10,-62.341698
5.756817e-10,-62.39818
5.742886e-10,-62.40869
5.6478344e-10,-62.481186
5.6247146e-10,-62.499
5.59272e-10,-62.523766
5.555123e-10,-62.553062
5.5422467e-10,-62.56314
5.546903e-10,-62.559494
5.558889e-10,-62.550117
5.611551e-10,-62.50917
5.6257937e-10,-62.49816
5.6517063e-10,-62.47821
5.7266164e-10,-62.42102
5.759014e-10,-62.396515
6.0072197e-10,-62.213272
6.4628114e-10,-61.895782
6.789656e-10,-61.68152
7.093257e-10,-61.491547
7.8030704e-10,-61.077347
8.218428e-10,-60.85211
7.6584195e-10,-61.158607
7.179485e-10,-61.439064
6.466222e-10,-61.893494
5.9694305e-10,-62.24067
5.927852e-10,-62.271027
5.7711036e-10,-62.387405
5.659944e-10,-62.471878
5.5826e-10,-62.53163
5.562745e-10,-62.54711
5.546626e-10,-62.559708
6.2475364e-10,-62.042915
6.3978756e-10,-61.939636
6.815182e-10,-61.66523
8.02315e-10,-60.95656
8.458228e-10,-60.727203
8.563731e-10,-60.67337
8.7055974e-10,-60.60202
8.6085705e-10,-60.650696
8.4198176e-10,-60.74698
7.5411755e-10,-61.2256
6.40802e-10,-61.932762
5.734283e-10,-62.415207
5.6508676e-10,-62.47885
5.63859e-10,-62.488297
5.594328e-10,-62.522514
5.5833177e-10,-62.531082
5.572671e-10,-62.539368
5.542875e-10,-62.562645
5.5404614e-10,-62.564545
5.556396e-10,-62.55207
5.5699023e-10,-62.54152
5.648909e-10,-62.480354
5.7744204e-10,-62.38492
5.91452e-10,-62.280807
6.0083183e-10,-62.212463
7.043464e-10,-61.52214
8.1054874e-10,-60.91221
7.976701e-10,-60.981766
7.9345003e-10,-61.0048
7.074441e-10,-61.503075
5.7258553e-10,-62.4216
5.6174226e-10,-62.504623
5.5248084e-10,-62.576828
5.516317e-10,-62.583504
5.519366e-10,-62.58111
5.604537e-10,-62.514603
6.3341854e-10,-61.983093
6.768737e-10,-61.69493
7.868174e-10,-61.04126
7.9616647e-10,-60.98996
8.820167e-10,-60.545235
6.571134e-10,-61.823593
6.073961e-10,-62.165283
5.7400984e-10,-62.410805
5.689833e-10,-62.449005
5.6419314e-10,-62.485725
5.523203e-10,-62.578087
5.509623e-10,-62.588776
5.5299143e-10,-62.572815
5.6312943e-10,-62.49391
5.691426e-10,-62.447784
5.707496e-10,-62.43554
5.807895e-10,-62.35981
5.860657e-10,-62.32054
6.794142e-10,-61.678658
7.285665e-10,-61.375313
7.7764983e-10,-61.092155
7.610121e-10,-61.18608
6.8722084e-10,-61.629036
6.0481525e-10,-62.18377
5.9371136e-10,-62.264244
5.9125926e-10,-62.28222
5.66788e-10,-62.46579
5.6331784e-10,-62.492462
5.620573e-10,-62.502197
5.575632e-10,-62.537064
5.553291e-10,-62.55449
5.542652e-10,-62.562828
5.494836e-10,-62.60045
5.4859256e-10,-62.6075
5.5119936e-10,-62.586906
5.525154e-10,-62.576553
5.5725163e-10,-62.539482
5.6755306e-10,-62.459938
5.971295e-10,-62.23931
6.512896e-10,-61.86226
6.72286e-10,-61.724464
7.3973355e-10,-61.309242
8.50171e-10,-60.70494
7.532497e-10,-61.230614
7.4562023e-10,-61.274826
6.3437505e-10,-61.97654
6.164964e-10,-62.100693
5.695242e-10,-62.444878
5.681387e-10,-62.455452
5.4849364e-10,-62.608276
5.73946e-10,-62.411285
5.756259e-10,-62.398598
5.807822e-10,-62.359863
5.8791966e-10,-62.306824
6.315275e-10,-61.99608
6.4239725e-10,-61.92196
8.224066e-10,-60.849136
8.841636e-10,-60.534676
8.408512e-10,-60.752808
8.095248e-10,-60.9177
7.3442036e-10,-61.340553
6.7749e-10,-61.69097
6.422872e-10,-61.9227
5.997238e-10,-62.22049
5.972079e-10,-62.23874
5.864153e-10,-62.317947
5.6731136e-10,-62.461784
5.659453e-10,-62.47226
5.54384e-10,-62.56189
5.484364e-10,-62.608734
5.4668414e-10,-62.622635
5.479107e-10,-62.612907
5.4862304e-10,-62.60726
5.4942556e-10,-62.600906
5.6582056e-10,-62.473213
5.916017e-10,-62.2797
5.953596e-10,-62.252205
6.560271e-10,-61.83078
6.8716166e-10,-61.62941
7.235047e-10,-61.40558
7.1992606e-10,-61.427116
6.1848043e-10,-62.086746
5.947159e-10,-62.256912
5.8402516e-10,-62.33568
5.800555e-10,-62.365303
5.6871285e-10,-62.451065
5.4927946e-10,-62.602066
5.4594207e-10,-62.62854
5.454768e-10,-62.632233
5.5965454e-10,-62.520798
5.7904864e-10,-62.37285
6.011377e-10,-62.210266
6.0310285e-10,-62.196083
6.170984e-10,-62.09645
6.6084316e-10,-61.79901
7.3733303e-10,-61.323364
8.676707e-10,-60.616455
8.7865265e-10,-60.56183
7.640579e-10,-61.16874
7.093759e-10,-61.491234
6.832253e-10,-61.654358
6.7998834e-10,-61.674988
5.880868e-10,-62.305588
5.816535e-10,-62.353355
5.557588e-10,-62.551132
5.5035293e-10,-62.593582
5.4930904e-10,-62.601837
5.446216e-10,-62.639053
5.4445637e-10,-62.640373
5.455863e-10,-62.63137
5.4766647e-10,-62.614838
5.594543e-10,-62.522354
6.0508526e-10,-62.18184
6.31858e-10,-61.993805
6.824576e-10,-61.65924
7.1036166e-10,-61.485207
7.485724e-10,-61.25766
7.410274e-10,-61.30166
7.059189e-10,-61.51245
7.024891e-10,-61.5336
6.1779376e-10,-62.09156
5.897921e-10,-62.293015
5.6791455e-10,-62.45717
5.6430366e-10,-62.48488
5.5369476e-10,-62.56729
5.483622e-10,-62.60933
5.436833e-10,-62.646545
5.579419e-10,-62.53411
5.6885313e-10,-62.449997
5.7559935e-10,-62.398796
5.773333e-10,-62.385727
