path_id,delay_s,delay_ns,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,phase_deg,channel_path_gain,channel_path_gain_db
0,5.526242716769048e-07,552.624267578125,165.7872772216797,-6.146730902045761e-10,-7.693614634263213e-10,9.847538340324036e-10,-2.2448902130126953,-128.6227264404297,9.697401246452901e-19,-180.13343811035156
1,4.944560032527079e-07,494.45599365234375,148.33680725097656,-1.91464820886722e-07,2.374674323846193e-08,1.929318074189723e-07,3.0181961059570312,172.9298858642578,3.722268329610541e-14,-134.29193115234375
2,8.43424402319215e-07,843.4243774414062,253.02731323242188,3.5955796673370344e-10,-1.7769709037551706e-09,1.8129830969826344e-09,-1.371148705482483,-78.56102752685547,3.286907629507556e-18,-174.83213806152344
3,5.263375442154938e-07,526.3375244140625,157.90126037597656,-1.61736193882156e-10,9.155518010395269e-10,9.297277392406045e-10,1.7456467151641846,100.01818084716797,8.643936588541984e-19,-180.63287353515625
4,5.557972144742962e-07,555.7972412109375,166.73916625976562,-2.1553654694361768e-10,2.0532147093632602e-09,2.064496795739501e-09,1.6753883361816406,95.99267578125,4.262146954262675e-18,-173.70370483398438
5,4.276915603895759e-07,427.6915588378906,128.30746459960938,-9.970717229634829e-08,-3.3170417523820106e-09,9.97623388343527e-08,-3.108337163925171,-178.09458923339844,9.952524474856044e-15,-140.02066040039062
6,5.188498448660539e-07,518.849853515625,155.6549530029297,2.1174917819166694e-08,3.356547750854588e-08,3.9686504749170126e-08,1.0079984664916992,57.75405502319336,1.5750186960246794e-15,-148.0271453857422
7,5.114338819112163e-07,511.4338684082031,153.43016052246094,-9.10361990236197e-08,1.1813268585569858e-08,9.17994640303732e-08,3.0125491619110107,172.60633850097656,8.427141803661348e-15,-140.74319458007812
8,7.932315497782838e-07,793.2315673828125,237.96946716308594,2.184223024670473e-09,-1.3821925826107417e-09,2.5848183593524254e-09,-0.5641939640045166,-32.325931549072266,6.6812858729204515e-18,-171.75140380859375
9,4.625150893389218e-07,462.51507568359375,138.75453186035156,1.3123034214856943e-08,-3.975872786554646e-08,4.1868489120133745e-08,-1.2519886493682861,-71.7336654663086,1.7529703656056776e-15,-147.562255859375
10,6.027633503435936e-07,602.7633666992188,180.82901000976562,4.393120089929425e-09,4.7485864129726e-09,6.469047519885862e-09,0.8242626190185547,47.226768493652344,4.1848575966494967e-17,-163.78318786621094
