path_id,delay_s,delay_ns,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,phase_deg,channel_path_gain,channel_path_gain_db
0,4.3094311763525184e-07,430.943115234375,129.28292846679688,2.9509836352303864e-08,-2.3929247916498753e-08,3.799262415782323e-08,-0.6813463568687439,-39.03826904296875,1.4434395392070123e-15,-148.406005859375
1,1.76356900283281e-06,1763.5689697265625,529.0706787109375,1.8313284222415405e-10,4.087622462733975e-10,4.479109305677298e-10,1.1495919227600098,65.86676025390625,2.0062420482285234e-19,-186.97616577148438
2,1.6883750504348427e-06,1688.375,506.51251220703125,9.326869138126526e-11,2.2111872055585735e-10,2.3998444897976867e-10,1.1716361045837402,67.12979888916016,5.759253415953551e-20,-192.39633178710938
3,2.346833980482188e-06,2346.833984375,704.0501708984375,1.4624170763255506e-09,2.998632453454775e-09,3.3362343998533106e-09,1.1170413494110107,64.00175476074219,1.1130459604452285e-17,-169.53488159179688
4,2.3468337531085126e-06,2346.833740234375,704.0501098632812,1.4624610411573258e-09,2.9986186866892695e-09,3.3362412832360633e-09,1.1170276403427124,64.00096893310547,1.1130505926566588e-17,-169.53485107421875
5,1.6353487808373757e-06,1635.3487548828125,490.6046447753906,1.5031162980960744e-09,-2.1562465146729437e-09,2.6284516785324286e-09,-0.9620202779769897,-55.11969757080078,6.9087580598306965e-18,-171.6060028076172
6,1.1181118679814972e-06,1118.11181640625,335.4335632324219,1.3952670963046643e-10,6.274921138249567e-10,6.42817299389975e-10,1.3519997596740723,77.46387481689453,4.132140683447729e-19,-183.8382568359375
7,1.0764175613076077e-06,1076.4176025390625,322.9252624511719,-4.9481019281927274e-09,-3.768207967880244e-09,6.2195741890036516e-09,-2.4907429218292236,-142.70904541015625,3.868310465476479e-17,-164.12478637695312
8,1.367406753161049e-06,1367.40673828125,410.2220153808594,6.043901379371164e-08,-2.4999643244427716e-08,6.540532382359743e-08,-0.3922044634819031,-22.47165870666504,4.277856467362539e-15,-143.68772888183594
9,1.6330393464158988e-06,1633.039306640625,489.91180419921875,2.1718078446752997e-09,7.660311496238137e-09,7.96223087462522e-09,1.2945318222045898,74.17120361328125,6.339712061442397e-17,-161.97930908203125
10,2.35525817515736e-06,2355.258056640625,706.5774536132812,-8.210233604089012e-10,-1.671470739594838e-09,1.8622281494629078e-09,-2.0273776054382324,-116.16017150878906,3.4678937135583927e-18,-174.59933471679688
11,5.227672659202653e-07,522.7672729492188,156.83018493652344,-3.048064925459393e-11,-4.065056902202713e-10,4.0764680520055663e-10,-1.645638346672058,-94.28812408447266,1.6617591924626058e-19,-187.79432678222656
12,5.225919039730798e-07,522.5919189453125,156.77757263183594,1.8938089985098827e-10,-2.8401481166895337e-10,3.413642424288099e-10,-0.98270183801651,-56.304664611816406,1.165295470071994e-19,-189.33563232421875
13,5.222611889621476e-07,522.2611694335938,156.67835998535156,1.3305496704418829e-09,-3.351545152519009e-10,1.3721118685694478e-09,-0.2467583566904068,-14.138211250305176,1.8826909915163647e-18,-177.25221252441406
14,1.0375953252150794e-06,1037.5953369140625,311.2785949707031,1.4889206534363097e-10,-1.2860465470332372e-10,1.9674349649445588e-10,-0.7124193906784058,-40.81862258911133,3.870800400612416e-20,-194.1219940185547
15,1.6883751641216804e-06,1688.3751220703125,506.5125427246094,1.9347974333783213e-09,4.5870902631861554e-09,4.978437218028375e-09,1.1716461181640625,67.13037109375,2.4784837509344745e-17,-166.05813598632812
16,1.7635692302064854e-06,1763.5692138671875,529.0707397460938,1.8313582594853273e-10,4.087613025838266e-10,4.479112913902128e-10,1.1495848894119263,65.8663558959961,2.0062452794027911e-19,-186.97616577148438
17,1.0556661891314434e-06,1055.6661376953125,316.6998596191406,2.6322657595279075e-11,-2.8306976554426377e-11,3.8654458106579526e-11,-0.8217053413391113,-47.08024597167969,1.494167177973952e-21,-208.25601196289062
18,1.0565105412752018e-06,1056.510498046875,316.9531555175781,-3.4756272859759463e-10,-2.4208695048599793e-09,2.4456920932891535e-09,-1.7133913040161133,-98.17008209228516,5.98141001100056e-18,-172.23196411132812
19,1.0565106549620396e-06,1056.5106201171875,316.95318603515625,-4.086389213120434e-11,-2.8457647349711124e-10,2.874954441178801e-10,-1.7134168148040771,-98.17154693603516,8.265363164040313e-20,-190.827392578125
20,4.833991624764167e-07,483.399169921875,145.01974487304688,6.096563809343536e-10,7.665646450938368e-10,9.794397515250353e-10,0.8989217877388,51.50442123413086,9.593022426882132e-19,-180.18045043945312
21,1.8854860854844446e-06,1885.486083984375,565.6458129882812,-1.4081990018510737e-09,-3.592542374697416e-10,1.453302367337983e-09,-2.8918046951293945,-165.68820190429688,2.1120878209168674e-18,-176.75286865234375
22,9.940471272784634e-07,994.047119140625,298.2141418457031,7.478691443907337e-09,-4.007202569766832e-09,8.484603242209232e-09,-0.49188822507858276,-28.183116912841797,7.198848977164063e-17,-161.4273681640625
23,4.30943060791833e-07,430.94305419921875,129.2829132080078,1.405742966475998e-09,-1.1396471544244946e-09,1.8096708576109677e-09,-0.681236207485199,-39.03195571899414,3.2749085475418618e-18,-174.84800720214844
24,1.0565106549620396e-06,1056.5106201171875,316.95318603515625,-4.085054516878017e-11,-2.845783331206775e-10,2.8749538860672885e-10,-1.7133699655532837,-98.16886138916016,8.265359932866045e-20,-190.827392578125
25,1.0363543196945102e-06,1036.3543701171875,310.90631103515625,-1.865154075630926e-08,1.712826858124572e-08,2.532306275782048e-08,2.398742198944092,137.4377899169922,6.412575159054192e-16,-151.92967224121094
26,1.46072397910757e-06,1460.7239990234375,438.2171936035156,-8.098053894123325e-10,3.528241865335957e-10,8.833287989951089e-10,2.7307024002075195,156.4577178955078,7.802697524490735e-19,-181.0775604248047
